,id,track_name,size_bytes,ver,prime_genre,ipadSc_urls.num,price
540,392788790,Sonic The Hedgehog 4™ Episode I,124710912,1,Games,5,2.99
546,393313223,"Printer Pro - Print photos, pdf and emails",98820096,5,Productivity,5,6.99
548,393670998,欧路英语词典 Eudic 增强版,152671232,8,Reference,5,2.99
550,393989284,Mathmateer®,26029056,2,Education,5,1.99
551,394057299,Battleheart,275481600,1,Games,5,2.99
553,394342281,Bowitter for iPhone,3174400,1,Social Networking,0,0.99
554,394732447,Need for Speed™ Hot Pursuit,1269152768,1,Games,5,4.99
555,395042892,Instant Heart Rate+: Heart Rate & Pulse Monitor,189514752,5,Health & Fitness,0,4.99
557,395148744,NOAA Hurricane Center,8069120,3,Weather,0,1.99
559,395627741,Age of Zombies™,53805056,1,Games,5,0.99
560,395680819,AVPlayer,39790592,2,Entertainment,0,2.99
564,396082453,The Calculator,71177216,4,Utilities,5,2.99
565,396085661,Game Dev Story,191455232,2,Games,5,4.99
566,396224808,French Words for Kids - Learn Letter Sounds,35518464,5,Education,5,3.99
567,396669943,Death Worm,29303808,1,Games,5,0.99
568,396837225,Cartoon Wars 2: Heroes,42482779,1,Games,0,0.99
570,397049430,Super Stickman Golf,88879104,2,Games,5,2.99
572,397836467,Hotel Dash Deluxe,50085888,1,Games,4,0.99
573,397951063,Backbreaker 2: Vengeance,83214336,1,Games,5,0.99
577,398348506,Gravity Guy,22577152,1,Games,0,0.99
581,398687544,Puzzle Quest 2,1319796736,1,Games,5,2.99
582,398860966,Mountain Biker,165394432,1,Games,5,1.99
584,398975927,Stratego® Single Player,195406848,1,Games,5,2.99
589,399804936,Learn English quickly with MosaLingua,51665920,9,Education,5,4.99
590,400213892,Reiner Knizia's Ra,34992128,1,Games,5,3.99
591,400666114,Guitar Pro,34405376,1,Music,5,6.99
592,400882072,Flick Golf!,59663360,1,Games,0,0.99
593,400971700,DirectVR Remote for DirecTV,7497728,4,Utilities,0,0.99
594,401301276,World of Goo,119131136,1,Games,5,4.99
596,401643317,UPAD 3,34397184,3,Productivity,5,5.99
599,401818935,Genius Scan+ - PDF Scanner,43338752,4,Business,5,7.99
600,402012828,iSafe Pro,95949824,1,Utilities,0,0.99
601,402370879,NBA JAM by EA SPORTS™,410202112,1,Games,0,4.99
602,402422247,iHandy Translator Pro,30382080,1,Reference,0,2.99
603,402614251,AR Missile - Automatic Target Tracking,17178624,1,Entertainment,0,0.99
605,403090531,Dungeon Raid,11911065,1,Games,0,0.99
606,403684733,Badoo Premium - Meet new people. Extra features.,157370368,5,Social Networking,4,2.99
608,404086528,LEGO Harry Potter: Years 1-4,475697678,2,Games,5,4.99
609,404095058,Rat On A Skateboard,9458688,1,Games,3,1.99
610,404299862,iTrackBites Plus - Smart Weight Loss Tracker & Points Calculator for Diet Nutrition Watchers,67922944,5,Health & Fitness,5,3.99
611,404405151,Pocket God: Journey To Uranus,118435840,1,Games,5,1.99
613,404553553,Bloons TD 4,23447492,3,Games,0,2.99
615,404990064,SkyView® - Explore the Universe,93429760,3,Education,5,1.99
618,405622181,MONOPOLY for iPad,979909632,1,Games,5,4.99
620,405743220,Eden - World Builder,122429440,2,Games,5,0.99
621,405891908,"Holiday Greetings - 3D Animations, Emoji, Emoticons, Sounds & Videos for Special Occasions",12783616,1,Entertainment,4,0.99
622,406239138,Puffin Browser Pro,63474688,5,Utilities,5,3.99
623,406541444,8mm Vintage Camera,22227968,2,Photo & Video,0,1.99
625,406732590,Paprika Recipe Manager for iPhone,10426368,2,Food & Drink,0,4.99
626,407262212,BillMinder - Bill Reminder and Organizer,4278742,3,Finance,0,1.99
627,407375789,myCardLists Christmas Card Address Label Printing,21371904,4,Utilities,5,1.99
630,407707744,The 7th Guest,655987075,7,Games,5,4.99
631,407838198,Stack the Countries®,188030976,2,Education,5,2.99
633,407949800,Secret of Mana,192136192,3,Games,0,7.99
634,407976815,AVPlayerHD,39835648,2,Entertainment,5,2.99
635,408233979,SimplePhysics,8773632,2,Games,5,1.99
636,408854559,Hot Springs Story,183409664,2,Games,5,4.99
638,409157308,Annabel Karmel's Baby & Toddler Recipe App,104406016,1,Food & Drink,5,4.99
639,409299054,SecurityCam for iPhone,10469376,1,Photo & Video,0,0.99
643,409605521,Quit Pro,33914880,3,Health & Fitness,0,0.99
645,409869453,Localscope - Find places and people around you,13852672,4,Navigation,0,2.99
646,409890132,Slingo Supreme HD,60013568,2,Games,5,0.99
647,410031728,VLC Streamer,82395136,5,Entertainment,5,2.99
648,410089731,Low Carb Diet Tracker PRO by Carb Manager,57810944,4,Health & Fitness,5,2.99
649,410148139,NOAA Weather Radio,14232576,9,Weather,0,3.99
650,410229362,Mad Skills Motocross,16949248,3,Games,5,0.99
652,410319945,QWOP for iOS,27227934,1,Games,4,0.99
653,410351918,"Sleep Pillow Sounds: white noise, rain, ocean, fan",124150784,7,Health & Fitness,5,2.99
656,411206394,Scan - QR Code and Barcode Reader,10058752,2,Utilities,4,1.99
657,411430426,Carnivores: Ice Age Pro,198701056,1,Games,5,2.99
658,411608323,花しらべ 花認識/花検索,813500416,3,Reference,5,6.99
659,411711646,Fighter Verses - memorize bible verses,13778944,4,Reference,4,2.99
661,411843682,iDarkroom,29369344,2,Photo & Video,0,0.99
666,412792865,SkyDroid - Golf GPS,25606144,1,Sports,0,1.99
667,413246702,Verbrechen - echte Polizeifälle aus Deiner Umgebung,8161280,3,News,5,1.99
668,413423472,Legendary Wars,247508992,2,Games,5,0.99
670,413511993,Weather Radio by WDT,22879232,3,Weather,5,4.99
671,413515229,Home Design 3D - 3D Printing Edition,210538496,4,Productivity,5,6.99
675,414002091,WordFoto,5800960,1,Photo & Video,5,1.99
682,414834813,Pocket Casts,48323584,6,News,5,3.99
683,414835676,The Lost City,106427392,1,Games,5,1.99
684,415069562,Tasty Planet,22515712,1,Games,0,2.99
685,415138546,Feed the Head,18358272,2,Games,5,1.99
686,415468221,ContactsBook -AddressBook Organizer,7100416,1,Utilities,0,0.99
689,415850124,PhotoSync – transfer and backup photos & videos,65495040,3,Photo & Video,5,2.99
694,416981420,Bodyweight Training: You Are Your Own Gym,425657344,4,Health & Fitness,5,4.99
697,417373312,Talking Carl,64342016,9,Entertainment,5,0.99
698,417817520,Tiny Wings,30252032,2,Games,0,0.99
699,417906074,NOAA Weather Alerts - Severe Weather Push Notifications & Warnings,10514432,4,Weather,0,3.99
702,419135449,iTheme - Themes for iPhone and iPad,52618240,5,Lifestyle,5,1.99
704,419411014,"Math Fact Master: Addition, Subtraction, Multiplication, and Division",8029184,5,Education,5,0.99
